1. ¿De dónde nos visitas?,1.1 ¿De qué municipio del estado de Hidalgo perteneces?,2. ¿En qué rango de edad te encuentras?,3. ¿Con qué género te identificas?,4. ¿Con qué frecuencia realizas viajes dentro de México?,5. ¿Cuántas veces ha visitado alguno de los destinos turísticos de Hidalgo en los últimos 24 meses?,6. ¿Qué tanto te motiva principalmente a viajar los siguientes aspectos?,7. Los medios donde buscas inspiración para elegir destinos en Hidalgo.,8. En cuanto a la confianza y uso de las tecnologías indica tu nivel en que estas de acuerdo con las siguientes frases:,9. ¿Qué factor influye más en tu decisión de seguir una recomendación turística?,10. En una escala del 1 al 5 donde 1 es Nada valioso y 5 es Muy valioso ¿Cómo sería para ti que una app turística te recomiende comercios y experiencias locales auténticas?,"11. De una escala del 1 al 5 donde 1 es Totalmente en desacuerdo y 5 es Totalmente de acuerdo. Indica que tanto estás de acuerdo con la siguiente frase:  ""Me sentiría más confiado/a usando una app turística si sé que las recomendaciones están validadas por personas locales o por una institución oficial.”",12. ¿Qué tipo de información consideras más importante?,13. ¿Con qué frecuencia has enfrentado los siguientes problemas al viajar?,"14. En una escala del 1 al 5,  donde 1 es nada probable y 5 muy probable. ¿Qué tan probable es que uses una app oficial del estado de Hidalgo para planear y vivir tus viajes?",15. ¿Qué funciones consideras indispensables en una app de viajes?,16. ¿Qué haría que dejaras de usar una app turística? (Selecciona 3 opciones),"17. En una frase, ¿qué esperas de una app turística ideal para viajar en Hidalgo?"
"Hidalgo, México","Omitlán de Juárez, Hidalgo, México",18–29 años,Hombre,Varias veces al año,4 veces o más,Naturaleza,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Recomendación local,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,Exceso de publicidad,Confiable certeza y cercanía 
"Jalisco, México",,30–39 años,Hombre,Varias veces al año,3 veces,Viaje Familiar,Recomendaciones de amigos / familia,La información suele ser clara y actualizada,Opiniones de otros usuarios,4.0,5.0,Recomendaciones cercanas,Falta de información en el momento exacto,4.0,Recomendaciones locales confiables,Información falsa o incompleta,LeGITIMIDAD
"Ciudad de México, México",,18–29 años,Mujer,Varias veces al año,1 vez,Naturaleza,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Fotos reales,5.0,5.0,Horarios actualizados,Poca visibilidad de comercios locales,5.0,Eventos y experiencias locales,Información falsa o incompleta,"Que sea segura, confiable y fácil de utilizar "
"Ciudad de México, México",,30–39 años,Mujer,Varias veces al año,4 veces o más,Viaje Familiar,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Precio,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Información verificada,Información falsa o incompleta,"Confiable





"
"Ciudad de México, México",,18–29 años,Hombre,Varias veces al año,2 veces,Viaje Familiar,Google,Me generan seguridad para tomar decisiones,Precio,5.0,5.0,Mapas y rutas,Recomendaciones poco confiables,5.0,Información verificada,Exceso de publicidad,"Que sea confiable, sin tanta publicidad
"
"Estado de México, México",,30–39 años,Mujer,Varias veces al año,1 vez,Gastronomía,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Recomendaciones cercanas,Falta de información en el momento exacto,4.0,Recomendaciones locales confiables,Exceso de publicidad,Sumamente informativa
"Tlaxcala, México",,30–39 años,Mujer,Varias veces al año,2 veces,Naturaleza,Otro,Confío en sus recomendaciones,Fotos reales,5.0,4.0,Mapas y rutas,Recomendaciones poco confiables,5.0,Recomendaciones locales confiables,"Exceso de publicidad, Información falsa o incompleta, Mala experiencia de uso, Falta de valor real, No confiar en las recomendaciones",
"Estado de México, México",,18–29 años,Hombre,Varias veces al año,1 vez,Cultura / Historia,Google,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Seguridad,Información desactualizada,3.0,Información verificada,Información falsa o incompleta,Información confiable 
"Guanajuato, México",,30–39 años,Mujer,Una vez al año,1 vez,Viaje Familiar,Recomendaciones de amigos / familia,La información suele ser clara y actualizada,Opiniones de otros usuarios,5.0,5.0,Recomendaciones cercanas,Poca visibilidad de comercios locales,4.0,Recomendaciones locales confiables,Exceso de publicidad,Recomendaciones locales 
"Coahuila, México",,50–59 años,Hombre,Varias veces al año,3 veces,Descanso / relajación,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad",
