1. ¿De dónde nos visitas?,1.1 ¿De qué municipio del estado de Hidalgo perteneces?,2. ¿En qué rango de edad te encuentras?,3. ¿Con qué género te identificas?,4. ¿Con qué frecuencia realizas viajes dentro de México?,5. ¿Cuántas veces ha visitado alguno de los destinos turísticos de Hidalgo en los últimos 24 meses?,6. ¿Qué tanto te motiva principalmente a viajar los siguientes aspectos?,7. Los medios donde buscas inspiración para elegir destinos en Hidalgo.,8. En cuanto a la confianza y uso de las tecnologías indica tu nivel en que estas de acuerdo con las siguientes frases:,9. ¿Qué factor influye más en tu decisión de seguir una recomendación turística?,10. En una escala del 1 al 5 donde 1 es Nada valioso y 5 es Muy valioso ¿Cómo sería para ti que una app turística te recomiende comercios y experiencias locales auténticas?,"11. De una escala del 1 al 5 donde 1 es Totalmente en desacuerdo y 5 es Totalmente de acuerdo. Indica que tanto estás de acuerdo con la siguiente frase:  ""Me sentiría más confiado/a usando una app turística si sé que las recomendaciones están validadas por personas locales o por una institución oficial.”",12. ¿Qué tipo de información consideras más importante?,13. ¿Con qué frecuencia has enfrentado los siguientes problemas al viajar?,"14. En una escala del 1 al 5,  donde 1 es nada probable y 5 muy probable. ¿Qué tan probable es que uses una app oficial del estado de Hidalgo para planear y vivir tus viajes?",15. ¿Qué funciones consideras indispensables en una app de viajes?,16. ¿Qué haría que dejaras de usar una app turística? (Selecciona 3 opciones),"17. En una frase, ¿qué esperas de una app turística ideal para viajar en Hidalgo?"
"Estado de México, México",,40–49 años,Mujer,Esporádicamente,2 veces,Gastronomía,Redes Sociales,Me ayudan a ahorrar tiempo,Precio,4.0,4.0,Mapas y rutas,Recomendaciones poco confiables,4.0,Rutas sugeridas,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Claridad
"Ciudad de México, México",,30–39 años,Mujer,Una vez al año,2 veces,Gastronomía,Redes Sociales,Confío en sus recomendaciones,Fotos reales,4.0,4.0,Mapas y rutas,Información desactualizada,1.0,Recomendaciones locales confiables,Información falsa o incompleta,Confiable 
"Estado de México, México",,30–39 años,Mujer,Varias veces al año,2 veces,Cultura / Historia,Google,Evito apps que parecen publicidad disfrazada,Fotos reales,5.0,5.0,Recomendaciones cercanas,Demasiadas opciones sin guía,4.0,Eventos y experiencias locales,"Exceso de publicidad, Mala experiencia de uso, Información falsa o incompleta, Falta de valor real","Que tenga información de atracciones,  eventos,  comidas o cosas típicas."
"Ciudad de México, México",,30–39 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Eventos o actividades del día,Falta de información en el momento exacto,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Que sea innovadora en tecnología 
"Estado de México, México",,18–29 años,Hombre,Varias veces al año,1 vez,Naturaleza,Redes Sociales,La información suele ser clara y actualizada,Fotos reales,2.0,2.0,Mapas y rutas,Demasiadas opciones sin guía,1.0,Rutas sugeridas,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Fácil de usar 
"Ciudad de México, México",,30–39 años,Mujer,Una vez al año,1 vez,Naturaleza,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,3.0,2.0,Mapas y rutas,Información desactualizada,2.0,Información verificada,"Exceso de publicidad, Información falsa o incompleta, Falta de valor real",Confiable 
"Ciudad de México, México",,30–39 años,Mujer,Varias veces al año,1 vez,Cultura / Historia,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Seguridad,Información desactualizada,5.0,Uso sin conexión,Mala experiencia de uso,Información verdidica
"Estado de México, México",,30–39 años,Mujer,Esporádicamente,1 vez,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Recomendación local,4.0,4.0,Mapas y rutas,Falta de información en el momento exacto,1.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Rapidez
"Ciudad de México, México",,30–39 años,Hombre,Una vez al año,1 vez,Naturaleza,Redes Sociales,Me ayudan a ahorrar tiempo,Precio,3.0,3.0,Horarios actualizados,Información desactualizada,1.0,Rutas sugeridas,Información falsa o incompleta,Confiable 
"Estado de México, México",,40–49 años,Hombre,Esporádicamente,2 veces,Descanso / relajación,Google,Confío en sus recomendaciones,Recomendación local,5.0,5.0,Recomendaciones cercanas,Falta de información en el momento exacto,5.0,Información verificada,Información falsa o incompleta,Confiabilidad en la información 
